file,date,date_source,lat,lng,title,caption,who,collection,place
945E8966-93EE-4601-A1A6-10AD3EC88767_1_105_c.jpeg,2022-04-06T17:36:21,exif,,,,,,,
41FABD71-7EC4-4F55-95C2-F20514969272_1_105_c.jpeg,2022-04-06T17:37:15,exif,,,,,,,
B3A2F201-F5AD-4D4A-AFCF-738E1BB009BA.jpeg,2022-04-06T18:11:19,exif,,,,,,,
4D5806C8-72F2-43EB-9C50-C10260FB47EF_1_105_c.jpeg,2022-04-06T18:16:42,exif,,,,,,,
7E9A9BD4-7D22-4BDA-B40F-B862B8B51C61.jpeg,2022-04-06T18:30:43,exif,,,,,,,
40A372FE-24E6-4CCE-8421-C2756E163251_1_105_c.jpeg,2022-04-06T18:37:18,exif,,,,,,,
8A8D5956-4E03-4969-9A7C-02179ED41E11.jpeg,2022-04-06T18:43:18,exif,,,,,,,
0E14A0FF-2F59-4FFA-A2D2-6505B57CEB7B_1_105_c.jpeg,2022-04-10T18:27:43,exif,40.104647,-86.034714,,,,,
03CD0CAF-FDC8-431A-AD73-FF7029460551_1_105_c.jpeg,2022-04-10T20:20:24,exif,40.104664,-86.034644,,,,,
076AAD31-6327-4E66-8CCB-ED937D3DDBAE_1_105_c.jpeg,2022-04-23T20:03:16,exif,40.104631,-86.034644,,,,,
21B4F741-4016-40BC-BCA8-61B005D1420D_1_105_c.jpeg,2022-04-23T20:04:52,exif,40.104667,-86.034683,,,,,
BFEF1504-10A2-4731-9C25-E1CD071335AF_1_105_c.jpeg,2022-04-23T20:07:15,exif,40.104667,-86.034675,,,,,
91AEB06C-66D2-4C28-898F-D33A86C98BF2_1_105_c.jpeg,2022-04-29T21:15:01,exif,41.220664,-85.865722,,,,,
92D4EF3B-F544-4AF9-BAA0-FB82DB8C8A03_1_105_c.jpeg,2022-04-29T21:18:39,exif,,,,,,,
94DB16FF-3878-451E-97A9-78BA414730D8_1_105_c.jpeg,2022-04-29T21:20:28,exif,,,,,,,
8B17B07D-D0A2-4004-B225-63CFB0B4F678.jpeg,2022-05-02T17:31:34,exif,,,,,,,
FE3F2787-4A0E-4137-AE62-0C685D2C9B81_1_105_c.jpeg,2022-05-07T16:59:11,exif,39.969553,-86.130325,,,,,
E1592361-9946-40CD-B757-E99914C5614D.jpeg,2022-05-07T18:06:15,exif,,,,,,,
87C4EAFF-F596-4142-BF01-6522E01C08EE_1_105_c.jpeg,2022-05-16T12:41:16,exif,39.990589,-86.072175,,,,,
0765BB80-BE74-4CC6-8188-8047E168CF03_1_105_c.jpeg,2022-05-16T13:59:55,exif,39.974758,-86.142175,,,,,
AE344F5A-BE33-4537-AB0B-24CB620651D4_1_105_c.jpeg,2022-05-18T12:34:39,exif,39.972022,-86.100869,,,,,
AF1DAF42-F708-45B5-A6B9-5A8A90815EDB_1_105_c.jpeg,2022-05-18T13:34:56,exif,39.965431,-86.219269,,,,,
2F8AEC77-4BA8-42F9-9720-BCC2EC57CA91.jpeg,2022-05-18T19:08:23,exif,,,,,,,
5550FCA7-9769-40C6-813C-90E2843BDFE4_1_105_c.jpeg,2022-05-19T20:38:54,exif,,,,,,,
147FA6CD-EA8E-4A76-9877-59C2C80C5F59_1_105_c.jpeg,2022-05-19T20:39:07,exif,,,,,,,
58C70331-A3DA-46FB-8810-8876F6CE009F_1_105_c.jpeg,2022-05-19T20:46:39,exif,,,,,,,
78CE1300-0B76-45C4-A714-F68E3D231E43_1_105_c.jpeg,2022-05-19T20:47:09,exif,,,,,,,
A4BD8A60-B1C2-4877-AAA1-3EA34BB94F4C_1_105_c.jpeg,2022-05-19T20:55:19,exif,,,,,,,
FFA98C2C-7D92-4331-A205-6069549F78CD_1_105_c.jpeg,2022-05-19T21:24:59,exif,,,,,,,
A883DA4C-1878-4D6F-A919-3EEDBB34A7F4_1_105_c.jpeg,2022-06-10T19:12:40,exif,39.973081,-86.197211,,,,,
EE0D552C-91A9-4B89-B59E-FFA29A123B2A_1_105_c.jpeg,2022-06-26T19:49:24,exif,26.532731,-80.091003,,,,,
82DA913C-BEB6-41D2-936D-DF4FA038A315_1_105_c.jpeg,2022-07-06T19:12:54,exif,39.714939,-86.297722,,,,,
69967379-3E56-44C3-A252-4A64886E5691_1_105_c.jpeg,2022-08-07T23:23:07,exif,,,,,,,
088A8DD8-FAF1-4B18-8FA1-1EC8CD141E8A_1_105_c.jpeg,2026-09-02T06:16:42,file,,,,,,,
0A2A2E76-7CB9-46FD-B223-4C045CF4462F.jpeg,2026-09-02T06:16:42,file,,,,,,,
18F2B62E-0F7C-4B0D-A90A-CB8E631EC179.jpeg,2026-09-02T06:16:42,file,,,,,,,
1B7364D3-61C7-4DB9-971A-F79E762DD3B3.jpeg,2026-09-02T06:16:42,file,,,,,,,
24432BA2-086E-4AEC-B318-BB2A25510FA8_1_105_c.jpeg,2026-09-02T06:16:42,file,,,,,,,
24DF4E7A-1790-44C0-95BB-4987DE8D4F63.jpeg,2026-09-02T06:16:42,file,,,,,,,
2AFD03CB-8096-42DD-A73C-C81722ECC7B9_1_105_c.jpeg,2026-09-02T06:16:42,file,,,,,,,
3E34E436-7A80-48FC-A3E4-868CC7F87416.jpeg,2026-09-02T06:16:42,file,,,,,,,
44BDCFF7-8C5F-476B-978F-6124054352BD.jpeg,2026-09-02T06:16:42,file,,,,,,,
4B04E812-FE6D-4275-8D3B-2F4889356309_1_105_c.jpeg,2026-09-02T06:16:42,file,,,,,,,
4C4BF480-C7CC-4609-9CB1-8E7A43A51F6C_1_105_c.jpeg,2026-09-02T06:16:42,file,,,,,,,
615A1D2A-CF93-4621-B616-D32565942B39_1_105_c.jpeg,2026-09-02T06:16:42,file,,,,,,,
638920E7-877B-4342-99C1-0C8FC9E225A1.jpeg,2026-09-02T06:16:42,file,,,,,,,
6A496B49-F231-4BD4-9175-E1DF34EE03A1_1_105_c.jpeg,2026-09-02T06:16:42,file,,,,,,,
6CB13DB2-0C79-44D7-B511-6483FA95CA8B_1_105_c.jpeg,2026-09-02T06:16:42,file,,,,,,,
7526FD82-1D04-467F-9F0B-CE51F354249A_1_105_c.jpeg,2026-09-02T06:16:42,file,,,,,,,
75B8BACE-8DF0-485B-973D-85591CAEEB13.jpeg,2026-09-02T06:16:42,file,,,,,,,
781A9249-FB47-4575-8753-6918C51971E5.jpeg,2026-09-02T06:16:42,file,,,,,,,
9611823D-41D1-48A7-83AA-080F53207685_1_105_c.jpeg,2026-09-02T06:16:42,file,,,,,,,
